"region","EV charging points","EV sales","EV sales share","EV stock","EV stock share"
"Australia",7861,47439,6.36050000786781,125219,1.02065998711623
"Belgium",36369,184802,55.1053001438268,453548,15.7489000612404
"Brazil",1819.60000038147,12819,0.760800004005432,23354,0.0609999999578576
"Canada",62977,287550,28.8517998361494,867186,4.73765002886648
"Chile",1213,1472,0.548100000247359,3746,0.118940002139425
"China",32403000,60586955,997.69506964233,329082957,371.634310121153
"Denmark",20769,126984,122.701999675483,294449,16.7688997180667
"Finland",17143,67825,138.297000257298,217465,19.7747997101396
"France",199399,797800,82.5714003047906,2202301,17.0612400652026
"Germany",219655,1426549,88.859099651454,2743337,11.7869299242739
"Greece",1424,10532,13.5100999879651,16537,0.358179001446842
"Iceland",1662,25867,212.359999578446,72467,32.6814997764304
"India",2105501,7696346.46000009,177.306199978106,22111072.7,54.088299985975
"Indonesia",285,NA,NA,NA,NA
"Italy",59277,246489,30.407200174639,469549,4.24619998823619
"Japan",210710,377692,9.8829999724403,1934384,3.73302002204582
"Korea",257720,298035,39.2557999147102,664621,9.83530016828445
"Mexico",4912,11550,1.18509000976337,31281,0.152806997984953
"Netherlands",343842,407766,332.596000352874,1464247,67.837700372329
"New Zealand",1839,34618,22.3982001240365,98532,7.07681003550533
"Norway",103332,592764,470.245399734238,2166281,104.632429867401
"Poland",8034,39275,16.7043996024877,76119,1.18169999821112
"Portugal",19650,80264,61.8910000193864,200359,5.02130002295598
"South Africa",1205,1760,0.512900000205263,7343,0.111119999433868
"Spain",39091,166470,39.719700072892,392644,4.4304400687397
"Sweden",47195,359668,163.651300104684,764583,32.4514999735911
"Switzerland",41160,143504,72.7740002200007,388717,11.5613999040797
"Thailand",5191,NA,NA,NA,NA
"United States of America ",4344580,20815120,344.700999774039,97415470,110.993399889325
"United Kingdom",169316,782751,74.4352996642701,2040945,12.8672999371774
