"year","region","value"
2011,"Australia",49
2012,"Australia",80
2012,"Australia",170
2013,"Australia",190
2013,"Australia",100
2014,"Australia",950
2014,"Australia",370
2015,"Australia",760
2015,"Australia",1000
2016,"Australia",700
2016,"Australia",670
2017,"Australia",1200
2017,"Australia",1100
2018,"Australia",1800
2018,"Australia",1800
2019,"Australia",6300
2019,"Australia",2900
2020,"Australia",1700
2020,"Australia",5200
2010,"China",1900
2010,"China",4.90000009536743
2010,"China",120
2010,"China",1100
2010,"China",340
2011,"China",320
2011,"China",4800
2011,"China",330
2011,"China",14
2011,"China",330
2011,"China",2100
2012,"China",1800
2012,"China",1000
2012,"China",51
2012,"China",520
2012,"China",9600
2012,"China",260
2013,"China",730
2013,"China",15000
2013,"China",550
2013,"China",310
2013,"China",3500
2013,"China",1800
2014,"China",11000
2014,"China",12000
2014,"China",130
2014,"China",720
2014,"China",49000
2014,"China",24000
2015,"China",61000
2015,"China",150000
2015,"China",12000
2015,"China",5800
2015,"China",26000
2015,"China",76000
2016,"China",94000
2016,"China",19000
2016,"China",4500
2016,"China",21000
2016,"China",5.09999990463257
2016,"China",260000
2016,"China",79000
2017,"China",110000
2017,"China",470000
2017,"China",14000
2017,"China",58000
2017,"China",4500
2017,"China",480
2017,"China",120000
2018,"China",110000
2018,"China",2400
2018,"China",35000
2018,"China",53000
2018,"China",3600
2018,"China",820000
2018,"China",270000
2019,"China",230000
2019,"China",830000
2019,"China",2400
2019,"China",23000
2019,"China",16000
2019,"China",2600
2019,"China",98000
2020,"China",57000
2020,"China",3600
2020,"China",4500
2020,"China",57000
2020,"China",3600
2020,"China",4500
2020,"China",420
2020,"China",51000
2020,"China",930000
2020,"China",230000
2020,"China",57000
2020,"China",3600
2020,"China",4500
2020,"China",420
2020,"China",51000
2020,"China",930000
2020,"China",230000
2020,"China",51000
2020,"China",420
2020,"China",930000
2020,"China",230000
2010,"Denmark",28
2010,"Denmark",20
2010,"Denmark",4
2010,"Denmark",4
2010,"Denmark",6
2011,"Denmark",23
2011,"Denmark",1
2011,"Denmark",2
2011,"Denmark",420
2012,"Denmark",490
2012,"Denmark",12
2012,"Denmark",8
2012,"Denmark",1
2012,"Denmark",130
2013,"Denmark",100
2013,"Denmark",1
2013,"Denmark",3
2013,"Denmark",2
2013,"Denmark",10
2013,"Denmark",500
2014,"Denmark",1500
2014,"Denmark",90
2014,"Denmark",2
2014,"Denmark",47
2015,"Denmark",260
2015,"Denmark",85
2015,"Denmark",420
2015,"Denmark",4200
2016,"Denmark",1200
2016,"Denmark",570
2016,"Denmark",81
2016,"Denmark",1
2016,"Denmark",57
2016,"Denmark",4
2017,"Denmark",70
2017,"Denmark",1
2017,"Denmark",24
2017,"Denmark",620
2017,"Denmark",690
2018,"Denmark",1500
2018,"Denmark",3100
2018,"Denmark",31
2018,"Denmark",3
2018,"Denmark",190
2018,"Denmark",2
2019,"Denmark",83
2019,"Denmark",230
2019,"Denmark",2
2019,"Denmark",17
2019,"Denmark",34
2019,"Denmark",3900
2019,"Denmark",5500
2020,"Denmark",14000
2020,"Denmark",18000
2020,"Denmark",160
2020,"Denmark",15
2020,"Denmark",460
2020,"Denmark",3
2010,"France",16
2010,"France",190
2010,"France",800
2011,"France",1700
2011,"France",2600
2011,"France",96
2011,"France",21
2012,"France",25
2012,"France",600
2012,"France",5700
2012,"France",3600
2013,"France",5100
2013,"France",8800
2013,"France",830
2013,"France",24
2014,"France",2100
2014,"France",11000
2014,"France",40
2014,"France",4500
2015,"France",4900
2015,"France",51
2015,"France",17000
2015,"France",5700
2015,"France",10
2016,"France",9
2016,"France",7700
2016,"France",22000
2016,"France",1
2016,"France",74
2016,"France",5500
2017,"France",6000
2017,"France",1
2017,"France",17
2017,"France",26000
2017,"France",12000
2017,"France",5
2018,"France",16000
2018,"France",31000
2018,"France",91
2018,"France",5
2018,"France",8100
2019,"France",8000
2019,"France",16
2019,"France",270
2019,"France",43000
2019,"France",19000
2019,"France",22
2020,"France",150
2020,"France",75000
2020,"France",110000
2020,"France",150
2020,"France",6
2020,"France",8800
2010,"Germany",140
2010,"Germany",170
2011,"Germany",280
2011,"Germany",240
2011,"Germany",1400
2012,"Germany",2200
2012,"Germany",1200
2012,"Germany",950
2013,"Germany",2
2013,"Germany",600
2013,"Germany",1600
2013,"Germany",5300
2014,"Germany",8300
2014,"Germany",4400
2014,"Germany",720
2015,"Germany",2
2015,"Germany",1000
2015,"Germany",11000
2015,"Germany",12000
2016,"Germany",11000
2016,"Germany",13000
2016,"Germany",2400
2016,"Germany",110
2016,"Germany",11
2016,"Germany",120
2017,"Germany",29
2017,"Germany",4500
2017,"Germany",29000
2017,"Germany",25000
2018,"Germany",36000
2018,"Germany",31000
2018,"Germany",5300
2018,"Germany",95
2018,"Germany",3
2019,"Germany",240
2019,"Germany",190
2019,"Germany",5200
2019,"Germany",45000
2019,"Germany",63000
2020,"Germany",190000
2020,"Germany",2e+05
2020,"Germany",9000
2020,"Germany",180
2020,"Germany",370
2020,"Germany",300
2010,"Japan",2400
2011,"Japan",13000
2011,"Japan",2
2011,"Japan",850
2011,"Japan",15
2012,"Japan",11000
2012,"Japan",2500
2012,"Japan",4
2012,"Japan",13000
2013,"Japan",15000
2013,"Japan",7
2013,"Japan",2100
2013,"Japan",14000
2014,"Japan",16000
2014,"Japan",1000
2014,"Japan",6
2014,"Japan",16000
2015,"Japan",10000
2015,"Japan",2
2015,"Japan",830
2015,"Japan",14000
2016,"Japan",9400
2016,"Japan",320
2016,"Japan",8
2016,"Japan",15000
2017,"Japan",18000
2017,"Japan",10
2017,"Japan",320
2017,"Japan",36000
2018,"Japan",23000
2018,"Japan",280
2018,"Japan",10
2018,"Japan",27000
2019,"Japan",21000
2019,"Japan",8
2019,"Japan",520
2019,"Japan",18000
2020,"Japan",15000
2020,"Japan",1200
2020,"Japan",10
2020,"Japan",15000
2010,"Korea",61
2010,"Korea",5
2011,"Korea",4
2011,"Korea",270
2012,"Korea",510
2012,"Korea",2
2013,"Korea",6
2013,"Korea",600
2014,"Korea",1300
2014,"Korea",3
2015,"Korea",2
2015,"Korea",18
2015,"Korea",250
2015,"Korea",3100
2016,"Korea",4700
2016,"Korea",330
2016,"Korea",14
2016,"Korea",30
2017,"Korea",670
2017,"Korea",14000
2018,"Korea",55000
2018,"Korea",4400
2018,"Korea",300
2018,"Korea",50
2019,"Korea",110
2019,"Korea",2700
2019,"Korea",33000
2019,"Korea",1500
2020,"Korea",15000
2020,"Korea",31000
2020,"Korea",8700
2020,"Korea",700
2010,"Sweden",4
2011,"Sweden",180
2011,"Sweden",9
2012,"Sweden",280
2012,"Sweden",270
2012,"Sweden",660
2013,"Sweden",1100
2013,"Sweden",430
2013,"Sweden",210
2014,"Sweden",280
2014,"Sweden",1200
2014,"Sweden",3400
2015,"Sweden",9
2015,"Sweden",5600
2015,"Sweden",7
2015,"Sweden",3000
2015,"Sweden",320
2015,"Sweden",5
2016,"Sweden",17
2016,"Sweden",45
2016,"Sweden",3000
2016,"Sweden",10000
2016,"Sweden",33
2017,"Sweden",12
2017,"Sweden",16000
2017,"Sweden",4400
2017,"Sweden",200
2018,"Sweden",2500
2018,"Sweden",7100
2018,"Sweden",9
2018,"Sweden",54
2018,"Sweden",22000
2019,"Sweden",25000
2019,"Sweden",150
2019,"Sweden",16000
2019,"Sweden",1400
2020,"Sweden",18
2020,"Sweden",1900
2020,"Sweden",28000
2020,"Sweden",160
2020,"Sweden",66000
2010,"United Kingdom",9
2010,"United Kingdom",240
2010,"United Kingdom",6
2010,"United Kingdom",260
2010,"United Kingdom",21
2011,"United Kingdom",7
2011,"United Kingdom",1200
2011,"United Kingdom",12
2011,"United Kingdom",270
2011,"United Kingdom",5
2012,"United Kingdom",8
2012,"United Kingdom",440
2012,"United Kingdom",17
2012,"United Kingdom",1700
2012,"United Kingdom",990
2013,"United Kingdom",1100
2013,"United Kingdom",2700
2013,"United Kingdom",23
2013,"United Kingdom",320
2014,"United Kingdom",6
2014,"United Kingdom",810
2014,"United Kingdom",47
2014,"United Kingdom",6800
2014,"United Kingdom",7900
2014,"United Kingdom",7
2015,"United Kingdom",99
2015,"United Kingdom",19000
2015,"United Kingdom",10000
2015,"United Kingdom",25
2015,"United Kingdom",940
2015,"United Kingdom",3
2016,"United Kingdom",140
2016,"United Kingdom",9
2016,"United Kingdom",1100
2016,"United Kingdom",59
2016,"United Kingdom",11000
2016,"United Kingdom",27000
2016,"United Kingdom",78
2017,"United Kingdom",41
2017,"United Kingdom",34000
2017,"United Kingdom",14000
2017,"United Kingdom",1200
2017,"United Kingdom",18
2017,"United Kingdom",87
2018,"United Kingdom",98
2018,"United Kingdom",65
2018,"United Kingdom",1300
2018,"United Kingdom",16000
2018,"United Kingdom",35000
2019,"United Kingdom",200
2019,"United Kingdom",37000
2019,"United Kingdom",38000
2019,"United Kingdom",3200
2019,"United Kingdom",10
2019,"United Kingdom",140
2020,"United Kingdom",180
2020,"United Kingdom",4
2020,"United Kingdom",5400
2020,"United Kingdom",110000
2020,"United Kingdom",67000
2020,"United Kingdom",580
